iter	Passed	Remaining
0	63	63733
1	64	31994
2	64	21392
3	64	16087
4	64	12904
5	65	10788
6	65	9270
7	65	8141
8	65	7255
9	66	6552
10	66	5978
11	66	5500
12	67	5093
13	67	4744
14	67	4441
15	67	4175
16	68	3946
17	68	3741
18	68	3556
19	69	3389
20	69	3239
21	69	3102
22	70	2976
23	70	2863
24	70	2766
25	71	2675
26	71	2592
27	72	2515
28	72	2439
29	73	2365
30	73	2295
31	73	2230
32	74	2169
33	74	2111
34	74	2062
35	75	2016
36	75	1970
37	76	1928
38	76	1884
39	76	1842
40	77	1803
41	77	1764
42	77	1729
43	77	1694
44	78	1660
45	78	1628
46	78	1598
47	79	1584
48	80	1554
49	80	1527
50	80	1503
51	81	1478
52	81	1456
53	82	1438
54	82	1421
55	82	1398
56	83	1376
57	83	1357
58	84	1341
59	84	1324
60	85	1309
61	85	1291
62	85	1273
63	85	1256
64	86	1240
65	86	1224
66	86	1208
67	86	1190
68	87	1175
69	87	1160
70	87	1146
71	87	1132
72	88	1119
73	88	1105
74	88	1093
75	88	1080
76	89	1068
77	89	1056
78	89	1044
79	89	1033
80	90	1023
81	90	1018
82	91	1007
83	91	997
84	91	986
85	91	976
86	91	965
87	92	955
88	92	946
89	92	938
90	93	929
91	93	921
92	93	913
93	93	905
94	94	897
95	94	889
96	94	881
97	94	874
98	95	867
99	95	860
100	95	853
101	95	845
102	96	838
103	96	832
104	96	825
105	97	818
106	97	811
107	97	806
108	97	800
109	98	794
110	98	789
111	98	783
112	99	777
113	99	771
114	99	765
115	99	759
116	99	754
117	100	748
118	100	743
119	100	737
120	100	732
121	101	728
122	101	723
123	101	720
124	102	716
125	102	712
126	102	707
127	103	702
128	103	698
129	103	694
130	104	690
131	104	686
132	104	682
133	104	678
134	105	674
135	105	670
136	105	666
137	105	661
138	106	657
139	106	654
140	106	650
141	107	646
142	107	644
143	107	640
144	108	637
145	108	633
146	108	629
147	108	626
148	108	622
149	109	618
150	109	615
151	109	613
152	110	610
153	110	606
154	110	603
155	111	602
156	111	600
157	112	598
158	112	596
159	113	593
160	113	591
161	113	588
162	113	585
163	114	581
164	114	578
165	114	576
166	115	574
167	115	572
168	115	570
169	116	568
170	116	566
171	117	563
172	117	561
173	117	558
174	117	555
175	118	554
176	118	551
177	118	549
178	119	546
179	119	544
180	119	541
181	120	540
182	120	538
183	120	535
184	121	533
185	121	530
186	121	528
187	121	525
188	122	523
189	122	521
190	122	518
191	122	516
192	122	514
193	123	511
194	123	510
195	124	509
196	124	508
197	125	506
198	125	504
199	125	502
200	125	500
201	126	498
