iter	Passed	Remaining
0	64	64171
1	64	32315
2	65	21667
3	65	16337
4	66	13137
5	66	10985
6	66	9446
7	66	8293
8	67	7394
9	67	6674
10	67	6088
11	68	5602
12	68	5196
13	68	4843
14	69	4536
15	69	4265
16	69	4027
17	69	3814
18	70	3627
19	70	3457
20	70	3305
21	71	3164
22	71	3036
23	71	2918
24	72	2811
25	72	2711
26	72	2619
27	72	2533
28	73	2452
29	73	2378
30	73	2308
31	74	2241
32	74	2181
33	74	2128
34	75	2078
35	75	2032
36	76	1986
37	76	1939
38	76	1893
39	77	1851
40	77	1811
41	77	1773
42	78	1736
43	78	1702
44	78	1668
45	78	1636
46	79	1606
47	79	1577
48	79	1548
49	80	1522
50	80	1496
51	80	1471
52	80	1446
53	81	1423
54	81	1403
55	82	1382
56	82	1362
57	82	1342
58	82	1323
59	83	1305
60	83	1287
61	83	1269
62	84	1252
63	84	1236
64	84	1220
65	85	1204
66	85	1189
67	85	1174
68	86	1160
69	86	1146
70	86	1133
71	86	1120
72	87	1107
73	87	1095
74	87	1082
75	88	1070
76	88	1060
77	88	1049
78	89	1038
79	89	1027
80	89	1016
81	89	1006
82	90	994
83	90	985
84	90	975
85	90	966
86	91	956
87	91	947
88	91	939
89	92	930
90	92	922
91	92	914
92	92	905
93	93	898
94	93	890
95	93	882
96	94	875
97	94	867
98	94	860
99	94	853
100	95	846
101	95	839
102	95	833
103	95	827
104	96	820
105	96	814
106	96	808
107	97	802
108	97	795
109	97	789
110	97	784
111	98	778
112	98	773
113	98	767
114	99	762
115	99	756
116	99	750
117	99	745
118	99	740
119	100	735
120	100	730
121	100	725
122	101	720
123	101	715
124	101	711
125	101	706
126	102	701
127	102	697
128	102	693
129	102	689
130	103	685
131	103	681
132	103	677
133	104	673
134	104	669
135	104	665
136	105	661
137	105	658
138	105	654
139	106	652
140	106	649
141	106	645
142	107	642
143	107	638
144	107	636
145	108	632
146	108	629
147	108	626
148	109	622
149	109	619
150	109	616
151	109	613
152	110	610
153	110	607
154	110	604
155	111	601
156	111	598
157	111	596
158	112	593
159	112	590
160	112	587
161	112	584
162	113	581
163	113	578
164	113	575
165	114	572
166	114	569
167	114	567
168	114	564
169	115	561
170	115	559
171	115	556
172	115	554
173	116	551
174	116	549
175	116	546
176	116	543
177	117	541
178	117	539
179	117	536
180	118	534
181	118	532
182	118	529
183	118	527
184	119	525
185	119	523
186	119	520
187	120	519
188	120	516
189	120	514
190	121	513
191	121	511
192	122	510
193	122	508
194	122	506
